فاس مكناس,Ifrane,منتزه الأرز ومحطة ميشليفن,33.5273,-5.1067,❄️ سويسرا المغرب؛ تمتاز بأكبر غابة أرز في العالم وبناء أوروبي. تعتمد على السياحة الجبلية والشتوية. اقتصادها مرتبط بالتعليم العالي (جامعة الأخوين).
فاس مكناس,Taza,مغارة فريواطو والجامع الكبير,34.2167,-4,⛰️ ممر الشمال؛ تمتاز بموقعها الاستراتيجي بين الأطلس والريف. تاريخها عسكري كحامية للممر. تشتهر بالسياحة الجبلية والمناظر الطبيعية الخلابة.
الرباط سلا القنيطرة,Rabat,قصبة الوداية وشارع محمد الخامس,34.024,-6.8219,🏛️ عاصمة الأنوار؛ تمتاز بمؤسساتها الإدارية والدبلوماسية. اقتصادها إداري، تكنولوجي، وسياحي. معالمها تمزج بين الفن الموحدي والعمارة الحديثة.
الرباط سلا القنيطرة,Sale,متحف الأقواس والمدينة العتيقة,34.0333,-6.8167,⛵ مدينة القراصنة سابقاً؛ تمتاز بتاريخ بحري عريق. تشتهر بصناعة الحصير والخزف السلاوي. تعتمد حالياً على الخدمات والصناعات التحويلية.
الرباط سلا القنيطرة,Kenitra,القاعدة الجوية والمنطقة الصناعية,34.25,-6.5833,🏭 القلعة الصناعية؛ تمتاز بأكبر منطقة لصناعة السيارات في المغرب (Atlantic Free Zone). اقتصادها صناعي وفلاحي بفضل سهول الغرب الخصبة.
بني ملال خنيفرة,Beni Mellal,قصر عين أسردون,32.3333,-6.35,🏞️ لؤلؤة الأطلس؛ تمتاز بمناظر طبيعية خلابة وبساتين الزيتون والليمون. اقتصادها فلاحي وغذائي بامتياز. معالمها: القصر الجاثم فوق الجبل.
بني ملال خنيفرة,Khénifra,بحيرة أكلمام أزكزا,32.9333,-5.6667,⚔️ عاصمة زيان؛ تمتاز بتاريخها في مقاومة الاستعمار (موحا أوحمو الزياني). تشتهر بالزربية الزيانية الحمراء والسياحة الجبلية.
بني ملال خنيفرة,Azilal,جيوبارك مكون وموقع الديناصورات,32.0152,-6.7181,🦖 أرض العجائب؛ تمتاز بتراث جيولوجي عالمي (آثار الديناصورات). تعتمد على السياحة الإيكولوجية والجبلية (شلالات أوزود).
الدار البيضاء سطات,Casablanca,ساحة الأمم المتحدة والدار البيضاء Finance City,33.5731,-7.5898,🏙️ الرئة الاقتصادية؛ تمتاز بكونها المركز المالي الأول في إفريقيا. اقتصادها صناعي، تجاري، وخدماتي. معالمها: مسجد الحسن الثاني والحي الحبوس.
الدار البيضاء سطات,El Jadida,القلعة البرتغالية وشاطئ الحوزية,33.2333,-8.5,🏰 مازاغان؛ تمتاز بمعمار برتغالي مسجل في اليونسكو. اقتصادها يعتمد على الصناعات الكيماوية (المجمع الشريف للفوسفاط) والسياحة الشاطئية.
الدار البيضاء سطات,Settat,جامعة الحسن الأول والمنطقة الصناعية,33,-7.6167,🌾 عاصمة الشاوية؛ تمتاز بأراضيها الفلاحية الشاسعة لإنتاج الحبوب. اقتصادها فلاحي وصناعي بفضل موقعها كصلة وصل بين الشمال والجنوب.
مراكش آسفي,Marrakech,قصر البديع وحدائق ماجوريل,31.6285,-7.989,🏮 عاصمة النخيل؛ تمتاز بكونها الوجهة السياحية الأولى عالمياً بالمغرب. اقتصادها سياحي وتجاري وصناعة تقليدية. تاريخها مرتبط بالمرابطين والموحدين.
مراكش آسفي,Safi,ميناء الفوسفاط وهضبة الخزف,32.2922,-9.2344,🏺 عاصمة الخزف؛ تمتاز بصناعة الفخار المصدر للعالم. اقتصادها صناعي (الفوسفاط والصيد البحري). معالمها: قصر البحر التاريخي.
مراكش آسفي,Essaouira,جزيرة موكادور والأسوار,31.5118,-9.7711,🌬️ مدينة الرياح؛ تمتاز بتعايش ثقافي فريد ومهرجان كناوة. اقتصادها سياحي، صيد بحري، وإنتاج زيت الأركان وصناعة العرعار.
درعة تافيلالت,Ouarzazate,استوديوهات السينما وقصبة تاوريرت,30.9167,-6.9167,🎬 هوليود المغرب؛ تمتاز بكونها مركزاً عالمياً لتصوير الأفلام. اقتصادها سياحي، سينمائي، وطاقي (محطة نور للطاقة الشمسية).
درعة تافيلالت,Errachidia,واحة تافيلات ومقبرة السعديين,31.9317,-4.4267,🌴 بلاد الشرفاء؛ تمتاز بكونها مهد الدولة العلوية. اقتصادها فلاحي يعتمد على الواحات وإنتاج التمور عالي الجودة.
درعة تافيلالت,Zagora,كثبان تينفو وعلامة تمبكتو 52 يوماً,30.3333,-5.8333,🏜️ باب الصحراء؛ تمتاز بطقسها الصحراوي وقوافل الإبل التاريخية. تعتمد على السياحة الصحراوية وإنتاج التمور المجهول.
سوس ماسة,Agadir,سوق الأحد وشاطئ أكادير,30.4167,-9.5833,🏖️ عاصمة الانبعاث؛ تمتاز بأكبر منطقة سياحية شاطئية بالمغرب. اقتصادها سياحي، فلاحي (سهل سوس)، وصيد بحري.
سوس ماسة,Tiznit,المشور وصناعة الفضة,29.6975,-9.7317,💍 عاصمة الفضة؛ تمتاز بصناعة الحلي التقليدية العريقة. اقتصادها يرتكز على الصناعة التقليدية، الفلاحة، والسياحة الروحية.
سوس ماسة,Taroudant,الأسوار السعدية وساحة العلويين,30.4667,-8.8833,🍊 مراكش الصغيرة؛ تمتاز بأسوارها الطينية الضخمة. اقتصادها فلاحي (الحوامض) وصناعة تقليدية (الجلود والنقش).
كلميم واد نون,Guelmim,سوق الإبل الأسبوعي,28.4833,-10.0667,🐫 باب الصحراء؛ تمتاز بلقب 'الرجل الأزرق'. اقتصادها يعتمد على التجارة والمواشي والسياحة الواحية.
العيون الساقية الحمراء,Laayoune,فم الواد والمكتبة الوسائطية,27.15,-13.2,🏟️ لؤلؤة الصحراء؛ تمتاز بنهضة عمرانية مذهلة. اقتصادها يعتمد على الفوسفاط (فوسبوكراع)، الصيد البحري، والخدمات الإدارية.
الداخلة وادي الذهب,Dakhla,النقطة الكيلومترية 25 والمحيط,23.72,-15.95,🏄‍♂️ جنة ركوب الأمواج؛ تمتاز بالتقاء الصحراء بالبحر. اقتصادها يعتمد على الصيد البحري، السياحة الرياضية، والفلاحة العصرية.
